"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000154040",78.853882466007,1.41111001338785,0.139016462059931,10.1506684350772,3.29101513974907e-24,1.38612682108246e-21,"CABYR"
"ENSG00000001084",1595.83683986909,0.885661348983616,0.0888107382207929,9.97245791135942,2.0118728476441e-23,8.31964291760315e-21,"GCLC"
"ENSG00000196581",146.056435951858,1.62600555949347,0.163255578495461,9.95987747848182,2.28343946960497e-23,9.27402630298131e-21,"AJAP1"
"ENSG00000187134",1031.24510575391,1.26108654368434,0.127797563938321,9.86784493241971,5.73842083655646e-23,2.28973058783579e-20,"AKR1C1"
"ENSG00000102174",74.7472821970446,1.1351964872194,0.115076961187384,9.86467208993225,5.92276520253391e-23,2.32254089252468e-20,"PHEX"
"ENSG00000086548",1454.93486421166,1.49670036439394,0.152033332333213,9.84455409497705,7.23593759245985e-23,2.78939262038825e-20,"CEACAM6"
"ENSG00000063438",144.161111512015,1.7548973853597,0.178667806778066,9.82212418121618,9.04178842298509e-23,3.42744059820621e-20,"AHRR"
"ENSG00000164796",43.9221719310539,-2.14646885340361,0.218989364953071,-9.80170363005343,1.10702544550588e-22,4.12757159550586e-20,"CSMD3"
"ENSG00000141198",312.500650759286,0.606107580443665,0.0619049445374898,9.79093972173103,1.23145984184117e-22,4.51747139400575e-20,"TOM1L1"
"ENSG00000151715",399.824645412154,1.26410737650243,0.129301505641294,9.77643199306044,1.4213295828684e-22,5.13122540202523e-20,"TMEM45B"
"ENSG00000147041",98.7801041661359,1.35140107541236,0.139450551816429,9.69089801230276,3.29617583464867e-22,1.17137848723827e-19,"SYTL5"
"ENSG00000163993",549.11790693781,1.50749161171303,0.155648338618027,9.68524062060519,3.48387189232389e-22,1.20609040845163e-19,"S100P"
"ENSG00000238755",25.9567470523735,1.9425743567817,0.200580303094607,9.6847712702152,3.49991061193316e-22,1.20609040845163e-19,"ENSG00000238755"
"ENSG00000104687",890.586317819379,0.904352350409327,0.0936425705952949,9.65749172262436,4.56913960871353e-22,1.55105240687434e-19,"GSR"
"ENSG00000169562",39.7141103758563,1.30484998091951,0.135921844739517,9.60000199688394,7.99428753014849e-22,2.67385405273084e-19,"GJB1"
"ENSG00000101452",332.812236725808,0.803612467676881,0.0838699997884264,9.5816438500549,9.55124563296153e-22,3.14831203878373e-19,"DHX35"
"ENSG00000264785",13.6434768726876,1.94420871357461,0.203226785395932,9.56669520598306,1.10377524603402e-21,3.58632345654253e-19,"ENSG00000264785"
"ENSG00000196344",3101.6601969384,1.17254366646756,0.122693679655162,9.55667537042708,1.21600271098282e-21,3.89531910684412e-19,"ADH7"
"ENSG00000118322",158.899785454674,1.44960043802434,0.152069339725759,9.53249642984268,1.53545609015197e-21,4.85033518255782e-19,"ATP10B"
"ENSG00000102359",255.045533077796,1.22119878773643,0.128898362392876,9.47412182021579,2.69013920407809e-21,8.38144192569206e-19,"SRPX2"
"ENSG00000149380",39.0349954152743,-1.40063393056737,0.149558314395223,-9.36513584170286,7.59525268256432e-21,2.33441117584112e-18,"P4HA3"
"ENSG00000164825",30.2712852454616,1.68649609923089,0.180922442336613,9.32165229172123,1.14542439159706e-20,3.47353764833115e-18,"DEFB1"
"ENSG00000073737",1339.63508528735,1.19900154029423,0.128844560737717,9.30579865715076,1.32989054089839e-20,3.97987242923591e-18,"DHRS9"
"ENSG00000099282",272.259321144212,0.698017768425242,0.0759867854321518,9.18604155256047,4.07563743180826e-20,1.2038480227149e-17,"TSPAN15"
"ENSG00000232973",45.6238027034876,1.43836231071267,0.157210470637653,9.14927806575862,5.73152840499668e-20,1.67125489799032e-17,"CYP1B1-AS1"
"ENSG00000134398",898.510232340605,0.828496791922961,0.0910328784315899,9.10107212028417,8.94444620845152e-20,2.57509474132938e-17,"ERN2"
"ENSG00000167759",42.8842113384906,1.53624152140347,0.168831622802468,9.09925223665511,9.0955880160161e-20,2.58587567295338e-17,"KLK13"
"ENSG00000167757",647.009857766303,0.852524455921226,0.0937174254014597,9.09675497666785,9.30710199018478e-20,2.61334231684892e-17,"KLK11"
"ENSG00000076864",173.200808310317,1.29611759550485,0.142527725089833,9.09379276690156,9.56430675487101e-20,2.65281210771691e-17,"RAP1GAP"
"ENSG00000104044",23.2019989613107,1.51172836971858,0.167192837955493,9.04182492626277,1.5407771117198e-19,4.22210055770543e-17,"OCA2"
"ENSG00000137501",2187.92267543436,0.866666128887075,0.0961245221852533,9.0160773669888,1.94944752338706e-19,5.27836124665659e-17,"SYTL2"
"ENSG00000261115",120.959360501206,1.09663605461648,0.121730317006443,9.00873407368547,2.08448666074691e-19,5.57759583670915e-17,"TMEM178B"
